"","year","western_europe"
"1",1820,23.0696668998209
"2",1830,23.8431457291606
"3",1840,25.7953488428724
"4",1850,26.78
"5",1860,30.34
"6",1870,33.0130491908584
"7",1880,35.851543626875
"8",1890,40.7931384683102
"9",1900,47.2429578461216
"10",1910,51.3475906350213
"11",1920,48.8353888523632
"12",1930,64.0910551919917
"13",1940,71.8453057489447
"14",1950,72.6326174828401
"15",1960,109.738741650411
"16",1970,161.614442406353
"17",1980,209.502305056869
"18",1990,254.400358945582
"19",2000,325.363061203824
"20",2010,373.183730096894
"21",2016,385.113317438073
"22",2017,392.565294213089
"23",2018,397.898966635374
